1,euclidean,positive,0,4.576222328065328,0.735956664007972
1,euclidean,positive,1,4.576222328065328,0.7386399389943108
1,euclidean,positive,2,4.576222328065328,0.7415179329982493
1,euclidean,normalized,0,4.576222328065328,0.7423539390001679
1,euclidean,normalized,1,4.576222328065329,0.7421485069935443
1,euclidean,normalized,2,4.576222328065327,0.7414598540053703
1,euclidean,exponential,0,4.682275267816353,0.8136754909937736
1,euclidean,exponential,1,4.682275267816353,0.8106190559919924
1,euclidean,exponential,2,4.682275267816353,0.8124184369953582
1,euclidean,powed,0,5.171275360463448,0.7458397930022329
1,euclidean,powed,1,5.171275360463448,0.7459609970101155
1,euclidean,powed,2,5.171275360463448,0.748140144001809
1,city_block,positive,0,4.606869793623257,0.5854387069994118
1,city_block,positive,1,4.606869793623257,0.5849896139989141
1,city_block,positive,2,4.606869793623257,0.5848025610030163
1,city_block,normalized,0,4.606869793623257,0.5871583280095365
1,city_block,normalized,1,4.606869793623257,0.5861481229949277
1,city_block,normalized,2,4.606869793623257,0.5874591729952954
1,city_block,exponential,0,4.800079135085972,0.6576129800087074
1,city_block,exponential,1,4.800079135085972,0.6560795739933383
1,city_block,exponential,2,4.800079135085971,0.6562270379945403
1,city_block,powed,0,5.156427224596345,0.5903328749991488
1,city_block,powed,1,5.156427224596345,0.5876716400089208
1,city_block,powed,2,5.156427224596345,0.588178185003926
1,sorensen,positive,0,4.652489288645953,0.6359762240026612
1,sorensen,positive,1,4.652489288645952,0.6342146899987711
1,sorensen,positive,2,4.652489288645953,0.6360277750063688
1,sorensen,normalized,0,4.652489288645953,0.636198633001186
1,sorensen,normalized,1,4.652489288645952,0.6357893599924864
1,sorensen,normalized,2,4.652489288645953,0.6358438699971884
1,sorensen,exponential,0,4.787066351650225,0.3605531609937316
1,sorensen,exponential,1,4.787066351650225,0.35741497900744434
1,sorensen,exponential,2,4.787066351650224,0.35760727399610914
1,sorensen,powed,0,5.170738925129854,0.6455571059923386
1,sorensen,powed,1,5.170738925129854,0.6442926099989563
1,sorensen,powed,2,5.170738925129854,0.6458969200029969
1,neyman,positive,0,4.773735541803767,0.8491312569967704
1,neyman,positive,1,4.773735541803766,0.8510079109983053
1,neyman,positive,2,4.773735541803767,0.8489050600037444
1,neyman,normalized,0,4.773735541803767,0.8505901530006668
1,neyman,normalized,1,4.773735541803766,0.8485345109947957
1,neyman,normalized,2,4.773735541803766,0.8479346750100376
1,neyman,exponential,0,4.683373325444873,0.4237299910018919
1,neyman,exponential,1,4.683373325444873,0.4234573199937586
1,neyman,exponential,2,4.683373325444872,0.4237770059989998
1,neyman,powed,0,5.002137437440239,0.8523111440008506
1,neyman,powed,1,5.002137437440239,0.8526236110046739
1,neyman,powed,2,5.002137437440239,0.8520024140016176
3,euclidean,positive,0,4.286666875466019,0.7421081450011116
3,euclidean,positive,1,4.191082408136999,0.7403625230072066
3,euclidean,positive,2,4.108836452637653,0.7408881470037159
3,euclidean,normalized,0,4.286666875466019,0.7431954170024255
3,euclidean,normalized,1,4.1910824081369995,0.7406527279963484
3,euclidean,normalized,2,4.108836452637652,0.7411224729876267
3,euclidean,exponential,0,4.747770042192424,0.816074269998353
3,euclidean,exponential,1,4.6426363088628335,0.8123515629995381
3,euclidean,exponential,2,4.544423293045508,0.814792834004038
3,euclidean,powed,0,4.73016509662549,0.7497763129940722
3,euclidean,powed,1,4.63703086292853,0.7504551120073302
3,euclidean,powed,2,4.557538424214293,0.7484012920031091
3,city_block,positive,0,4.327771759419107,0.5866631499957293
3,city_block,positive,1,4.230765372885391,0.5856771030084928
3,city_block,positive,2,4.150098392008318,0.5868007889948785
3,city_block,normalized,0,4.327771759419107,0.5863516570098
3,city_block,normalized,1,4.23076537288539,0.5862184099969454
3,city_block,normalized,2,4.150098392008317,0.5886295509990305
3,city_block,exponential,0,4.514930865793394,0.6599858590052463
3,city_block,exponential,1,4.4074912917368065,0.6573878920025891
3,city_block,exponential,2,4.312377615617967,0.6569549039995763
3,city_block,powed,0,4.63522268989431,0.594542091988842
3,city_block,powed,1,4.565977836203743,0.5915433500049403
3,city_block,powed,2,4.508337944939041,0.590198321006028
3,sorensen,positive,0,4.321784568137383,0.640294686993002
3,sorensen,positive,1,4.224486050632436,0.6374419500061776
3,sorensen,positive,2,4.143778443808792,0.6382818649872206
3,sorensen,normalized,0,4.321784568137383,0.6383796390000498
3,sorensen,normalized,1,4.224486050632434,0.6357266280101612
3,sorensen,normalized,2,4.14377844380879,0.6352378680021502
3,sorensen,exponential,0,4.3775663127404245,0.3578409979963908
3,sorensen,exponential,1,4.291226474733992,0.3574612979864469
3,sorensen,exponential,2,4.213523325291723,0.35794865600473713
3,sorensen,powed,0,4.527891020847202,0.6379912150005111
3,sorensen,powed,1,4.440423923755286,0.6413841920002596
3,sorensen,powed,2,4.36970477630993,0.6413900400075363
3,neyman,positive,0,4.27614329088516,0.8496171509905253
3,neyman,positive,1,4.107370725122839,0.8484714179940056
3,neyman,positive,2,4.024354794298444,0.8490645379933994
3,neyman,normalized,0,4.27614329088516,0.8485718089941656
3,neyman,normalized,1,4.1073707251228395,0.8484171960008098
3,neyman,normalized,2,4.024354794298444,0.8495329319994198
3,neyman,exponential,0,4.517879921775516,0.4238757849961985
3,neyman,exponential,1,4.31514772055683,0.4231308979942696
3,neyman,exponential,2,4.1694017663444845,0.4238051329884911
3,neyman,powed,0,4.533044641230485,0.8526068800128996
3,neyman,powed,1,4.387998049047328,0.8524228019959992
3,neyman,powed,2,4.292888701862989,0.8523638359911274
